modelo,tipo_audio,wer,cer,bleu,tempo_segundos
Gemini Flash,Real,0.11330393888017726,0.027685805245141085,77.70825377053268,6.263472
Gemini Flash,Sintético,0.07680165766466077,0.020571578717135927,84.23166619098967,6.261626
Web Speech,Real,0.12097813718788951,0.051648726438229,77.06676596293956,6.8388
Web Speech,Sintético,0.07576189247628876,0.031165828000444935,86.32997911158522,6.2261
Whisper API,Real,0.07488618381962035,0.02124667551625388,85.17940319183577,3.525594
Whisper API,Sintético,0.05464519587739402,0.01360871147220085,88.30045279089441,1.986936
Whisper Base,Real,0.2772787449908193,0.08673877194055013,57.71940290769213,1.251501
Whisper Base,Sintético,0.17225984580435047,0.044294259934992634,71.95574940785954,0.914615
Whisper Large,Real,0.08401944924700343,0.020261354834833538,84.16586159004673,15.105244
Whisper Large,Sintético,0.05326857250077064,0.011429878178695623,88.1711037860736,14.101193
Whisper Medium,Real,0.10970975176354432,0.02977641983500964,80.01844608384106,7.868382
Whisper Medium,Sintético,0.06769714392934208,0.015060700858753794,85.45276297936087,7.704835
Whisper Small,Real,0.17814287780502952,0.04823295165954202,70.01143587137759,2.885183
Whisper Small,Sintético,0.1218269705011191,0.02500168711896728,78.3829609368735,3.198672
Whisper Tiny,Real,0.3522500346230996,0.11863429364285068,48.31744038795186,0.5638559999999999
Whisper Tiny,Sintético,0.26017279216311723,0.07693386145019937,59.30194451226328,0.518268
Whisper Turbo,Real,0.06757828338671992,0.018833188599006862,86.68222811102767,11.572989
Whisper Turbo,Sintético,0.04585190583410397,0.010026222632051753,90.13480599410983,11.771916000000001
